school_id,school,short_display,schedule_display,school_abbreviation,preferred_school_name
1,University of Arizona,Arizona,Arizona,U of A,Arizona
2,Arizona State University,Arizona State,Arizona State,ASU,Arizona State
3,Baylor University,Baylor,Baylor,BU,Baylor
4,Brigham Young University,BYU,BYU,BYU,BYU
5,University of Central Florida,UCF,UCF,UCF,UCF
6,University of Cincinnati,Cincinnati,Cincinnati,UC,Cincinnati
7,University of Colorado,Colorado,Colorado,CU,Colorado
8,University of Houston,Houston,Houston,UH,Houston
9,Iowa State University,Iowa State,Iowa State,ISU,Iowa State
10,University of Kansas,Kansas,Kansas,KU,Kansas
11,Kansas State University,Kansas State,K-State,KSU,K-State
12,Oklahoma State University,Oklahoma State,Oklahoma State,OSU,Oklahoma State
13,Texas Christian University,TCU,TCU,TCU,TCU
14,Texas Tech University,Texas Tech,Texas Tech,TTU,Texas Tech
15,University of Utah,Utah,Utah,UU,Utah
16,West Virginia University,West Virginia,West Virginia,WVU,West Virginia
17,University of Denver,Denver,Denver,DU,Denver
18,Fresno State University,Fresno State,Fresno State,FRES,Fresno State
19,University of Oklahoma,Oklahoma,Oklahoma,OU,Oklahoma
20,Old Dominion University,Old Dominion,Old Dominion,ODU,Old Dominion
21,University of Tulsa,Tulsa,Tulsa,TULSA,Tulsa
22,University of Florida,Florida,Florida,UF,Florida
23,San Diego State University,San Diego State,San Diego State,SDSU,San Diego State
24,UC Davis,UC Davis,UC Davis,UCD,UC Davis
25,Air Force Academy,Air Force,Air Force,AF,Air Force
26,California Baptist University,Cal Baptist,Cal Baptist,CBU,Cal Baptist
27,University of Missouri,Missouri,Missouri,MIZZ,Missouri
28,North Dakota State University,North Dakota State,North Dakota State,NDSU,North Dakota State
29,University of Northern Colorado,Northern Colorado,Northern Colorado,UNCO,Northern Colorado
30,University of Northern Iowa,Northern Iowa,Northern Iowa,UNI,Northern Iowa
31,South Dakota State University,South Dakota State,South Dakota State,SDSU_WR,South Dakota State
32,Utah Valley University,Utah Valley,Utah Valley,UVU,Utah Valley
33,University of Wyoming,Wyoming,Wyoming,WYO,Wyoming
