"team_id","school_id","sport_id","name","abbreviation","sport","conference","created_at","updated_at"
"101","1","1","Arizona Baseball","ARIZ","baseball","big12","2025-06-04 02:40:15.083014","2025-06-04 02:40:15.083014"
"102","1","2","Arizona Men's Basketball","ARIZ","mensbasketball","big12","2025-06-04 02:40:15.695486","2025-06-04 02:40:15.695486"
"103","1","3","Arizona Women's Basketball","ARIZ","womensbasketball","big12","2025-06-04 02:40:16.391501","2025-06-04 02:40:16.391501"
"108","1","8","Arizona Football","ARIZ","football","big12","2025-06-04 02:40:17.082794","2025-06-04 02:40:17.082794"
"111","1","11","Arizona Gymnastics","ARIZ","gymnastics","big12","2025-06-04 02:40:17.767505","2025-06-04 02:40:17.767505"
"114","1","14","Arizona Soccer","ARIZ","soccer","big12","2025-06-04 02:40:18.207265","2025-06-04 02:40:18.207265"
"115","1","15","Arizona Softball","ARIZ","softball","big12","2025-06-04 02:40:18.906807","2025-06-04 02:40:18.906807"
"118","1","18","Arizona Men's Tennis","ARIZ","menstennis","big12","2025-06-04 02:40:19.386931","2025-06-04 02:40:19.386931"
"119","1","19","Arizona Women's Tennis","ARIZ","womenstennis","big12","2025-06-04 02:40:19.77897","2025-06-04 02:40:19.77897"
"124","1","24","Arizona Volleyball","ARIZ","volleyball","big12","2025-06-04 02:40:20.47907","2025-06-04 02:40:20.47907"
"201","2","1","Arizona State Baseball","ASU","baseball","big12","2025-06-04 02:40:15.127501","2025-06-04 02:40:15.127501"
"202","2","2","Arizona State Men's Basketball","ASU","mensbasketball","big12","2025-06-04 02:40:15.738815","2025-06-04 02:40:15.738815"
"203","2","3","Arizona State Women's Basketball","ASU","womensbasketball","big12","2025-06-04 02:40:16.434863","2025-06-04 02:40:16.434863"
"208","2","8","Arizona State Football","ASU","football","big12","2025-06-04 02:40:17.127127","2025-06-04 02:40:17.127127"
"211","2","11","Arizona State Gymnastics","ASU","gymnastics","big12","2025-06-04 02:40:17.810872","2025-06-04 02:40:17.810872"
"212","2","12","Arizona State Lacrosse","ASU","lacrosse","big12","2025-06-04 02:40:18.075048","2025-06-04 02:40:18.075048"
"214","2","14","Arizona State Soccer","ASU","soccer","big12","2025-06-04 02:40:18.251068","2025-06-04 02:40:18.251068"
"215","2","15","Arizona State Softball","ASU","softball","big12","2025-06-04 02:40:18.951337","2025-06-04 02:40:18.951337"
"218","2","18","Arizona State Men's Tennis","ASU","menstennis","big12","2025-06-04 02:40:19.431051","2025-06-04 02:40:19.431051"
"219","2","19","Arizona State Women's Tennis","ASU","womenstennis","big12","2025-06-04 02:40:19.823032","2025-06-04 02:40:19.823032"
"224","2","24","Arizona State Volleyball","ASU","volleyball","big12","2025-06-04 02:40:20.519401","2025-06-04 02:40:20.519401"
"225","2","25","Arizona State Wrestling","ASU","wrestling","big12","2025-06-04 02:40:21.135071","2025-06-04 02:40:21.135071"
"301","3","1","Baylor Baseball","BAY","baseball","big12","2025-06-04 02:40:15.171864","2025-06-04 02:40:15.171864"
"302","3","2","Baylor Men's Basketball","BAY","mensbasketball","big12","2025-06-04 02:40:15.783142","2025-06-04 02:40:15.783142"
"303","3","3","Baylor Women's Basketball","BAY","womensbasketball","big12","2025-06-04 02:40:16.47908","2025-06-04 02:40:16.47908"
"308","3","8","Baylor Football","BAY","football","big12","2025-06-04 02:40:17.167473","2025-06-04 02:40:17.167473"
"314","3","14","Baylor Soccer","BAY","soccer","big12","2025-06-04 02:40:18.295075","2025-06-04 02:40:18.295075"
"315","3","15","Baylor Softball","BAY","softball","big12","2025-06-04 02:40:18.994762","2025-06-04 02:40:18.994762"
"318","3","18","Baylor Men's Tennis","BAY","menstennis","big12","2025-06-04 02:40:19.474858","2025-06-04 02:40:19.474858"
"319","3","19","Baylor Women's Tennis","BAY","womenstennis","big12","2025-06-04 02:40:19.866827","2025-06-04 02:40:19.866827"
"324","3","24","Baylor Volleyball","BAY","volleyball","big12","2025-06-04 02:40:20.562962","2025-06-04 02:40:20.562962"
"401","4","1","BYU Baseball","BYU","baseball","big12","2025-06-04 02:40:15.215025","2025-06-04 02:40:15.215025"
"402","4","2","BYU Men's Basketball","BYU","mensbasketball","big12","2025-06-04 02:40:15.827044","2025-06-04 02:40:15.827044"
"403","4","3","BYU Women's Basketball","BYU","womensbasketball","big12","2025-06-04 02:40:16.52286","2025-06-04 02:40:16.52286"
"408","4","8","BYU Football","BYU","football","big12","2025-06-04 02:40:17.208007","2025-06-04 02:40:17.208007"
"411","4","11","BYU Gymnastics","BYU","gymnastics","big12","2025-06-04 02:40:17.855199","2025-06-04 02:40:17.855199"
"414","4","14","BYU Soccer","BYU","soccer","big12","2025-06-04 02:40:18.335324","2025-06-04 02:40:18.335324"
"415","4","15","BYU Softball","BYU","softball","big12","2025-06-04 02:40:19.039352","2025-06-04 02:40:19.039352"
"418","4","18","BYU Men's Tennis","BYU","menstennis","big12","2025-06-04 02:40:19.519053","2025-06-04 02:40:19.519053"
"419","4","19","BYU Women's Tennis","BYU","womenstennis","big12","2025-06-04 02:40:19.911291","2025-06-04 02:40:19.911291"
"424","4","24","BYU Volleyball","BYU","volleyball","big12","2025-06-04 02:40:20.607331","2025-06-04 02:40:20.607331"
"501","5","1","UCF Baseball","UCF","baseball","big12","2025-06-04 02:40:15.258935","2025-06-04 02:40:15.258935"
"502","5","2","UCF Men's Basketball","UCF","mensbasketball","big12","2025-06-04 02:40:15.8714","2025-06-04 02:40:15.8714"
"503","5","3","UCF Women's Basketball","UCF","womensbasketball","big12","2025-06-04 02:40:16.567158","2025-06-04 02:40:16.567158"
"508","5","8","UCF Football","UCF","football","big12","2025-06-04 02:40:17.254586","2025-06-04 02:40:17.254586"
"514","5","14","UCF Soccer","UCF","soccer","big12","2025-06-04 02:40:18.378868","2025-06-04 02:40:18.378868"
"515","5","15","UCF Softball","UCF","softball","big12","2025-06-04 02:40:19.082774","2025-06-04 02:40:19.082774"
"518","5","18","UCF Men's Tennis","UCF","menstennis","big12","2025-06-04 02:40:19.559306","2025-06-04 02:40:19.559306"
"519","5","19","UCF Women's Tennis","UCF","womenstennis","big12","2025-06-04 02:40:19.951307","2025-06-04 02:40:19.951307"
"524","5","24","UCF Volleyball","UCF","volleyball","big12","2025-06-04 02:40:20.650815","2025-06-04 02:40:20.650815"
"601","6","1","Cincinnati Baseball","CIN","baseball","big12","2025-06-04 02:40:15.303518","2025-06-04 02:40:15.303518"
"602","6","2","Cincinnati Men's Basketball","CIN","mensbasketball","big12","2025-06-04 02:40:15.914965","2025-06-04 02:40:15.914965"
"603","6","3","Cincinnati Women's Basketball","CIN","womensbasketball","big12","2025-06-04 02:40:16.610862","2025-06-04 02:40:16.610862"
"608","6","8","Cincinnati Football","CIN","football","big12","2025-06-04 02:40:17.298861","2025-06-04 02:40:17.298861"
"612","6","12","Cincinnati Lacrosse","CIN","lacrosse","big12","2025-06-04 02:40:18.119396","2025-06-04 02:40:18.119396"
"614","6","14","Cincinnati Soccer","CIN","soccer","big12","2025-06-04 02:40:18.423344","2025-06-04 02:40:18.423344"
"619","6","19","Cincinnati Women's Tennis","CIN","womenstennis","big12","2025-06-04 02:40:19.99483","2025-06-04 02:40:19.99483"
"624","6","24","Cincinnati Volleyball","CIN","volleyball","big12","2025-06-04 02:40:20.695275","2025-06-04 02:40:20.695275"
"702","7","2","Colorado Men's Basketball","COL","mensbasketball","big12","2025-06-04 02:40:15.959196","2025-06-04 02:40:15.959196"
"703","7","3","Colorado Women's Basketball","COL","womensbasketball","big12","2025-06-04 02:40:16.655329","2025-06-04 02:40:16.655329"
"708","7","8","Colorado Football","COL","football","big12","2025-06-04 02:40:17.343199","2025-06-04 02:40:17.343199"
"712","7","12","Colorado Lacrosse","COL","lacrosse","big12","2025-06-04 02:40:18.162876","2025-06-04 02:40:18.162876"
"714","7","14","Colorado Soccer","COL","soccer","big12","2025-06-04 02:40:18.466925","2025-06-04 02:40:18.466925"
"719","7","19","Colorado Women's Tennis","COL","womenstennis","big12","2025-06-04 02:40:20.039259","2025-06-04 02:40:20.039259"
"724","7","24","Colorado Volleyball","COL","volleyball","big12","2025-06-04 02:40:20.73884","2025-06-04 02:40:20.73884"
"801","8","1","Houston Baseball","HOU","baseball","big12","2025-06-04 02:40:15.346811","2025-06-04 02:40:15.346811"
"802","8","2","Houston Men's Basketball","HOU","mensbasketball","big12","2025-06-04 02:40:15.999417","2025-06-04 02:40:15.999417"
"803","8","3","Houston Women's Basketball","HOU","womensbasketball","big12","2025-06-04 02:40:16.695768","2025-06-04 02:40:16.695768"
"808","8","8","Houston Football","HOU","football","big12","2025-06-04 02:40:17.383168","2025-06-04 02:40:17.383168"
"814","8","14","Houston Soccer","HOU","soccer","big12","2025-06-04 02:40:18.511516","2025-06-04 02:40:18.511516"
"815","8","15","Houston Softball","HOU","softball","big12","2025-06-04 02:40:19.127133","2025-06-04 02:40:19.127133"
"819","8","19","Houston Women's Tennis","HOU","womenstennis","big12","2025-06-04 02:40:20.082858","2025-06-04 02:40:20.082858"
"824","8","24","Houston Volleyball","HOU","volleyball","big12","2025-06-04 02:40:20.783446","2025-06-04 02:40:20.783446"
"902","9","2","Iowa State Men's Basketball","ISU","mensbasketball","big12","2025-06-04 02:40:16.04321","2025-06-04 02:40:16.04321"
"903","9","3","Iowa State Women's Basketball","ISU","womensbasketball","big12","2025-06-04 02:40:16.738848","2025-06-04 02:40:16.738848"
"908","9","8","Iowa State Football","ISU","football","big12","2025-06-04 02:40:17.423422","2025-06-04 02:40:17.423422"
"911","9","11","Iowa State Gymnastics","ISU","gymnastics","big12","2025-06-04 02:40:17.898806","2025-06-04 02:40:17.898806"
"914","9","14","Iowa State Soccer","ISU","soccer","big12","2025-06-04 02:40:18.559557","2025-06-04 02:40:18.559557"
"915","9","15","Iowa State Softball","ISU","softball","big12","2025-06-04 02:40:19.167515","2025-06-04 02:40:19.167515"
"919","9","19","Iowa State Women's Tennis","ISU","womenstennis","big12","2025-06-04 02:40:20.127248","2025-06-04 02:40:20.127248"
"924","9","24","Iowa State Volleyball","ISU","volleyball","big12","2025-06-04 02:40:20.827283","2025-06-04 02:40:20.827283"
"925","9","25","Iowa State Wrestling","ISU","wrestling","big12","2025-06-04 02:40:21.175544","2025-06-04 02:40:21.175544"
"1001","10","1","Kansas Baseball","KU","baseball","big12","2025-06-04 02:40:15.391141","2025-06-04 02:40:15.391141"
"1002","10","2","Kansas Men's Basketball","KU","mensbasketball","big12","2025-06-04 02:40:16.087237","2025-06-04 02:40:16.087237"
