Official University Name,Unapproved Name(s),Mascot,Mascot Name(s),Primary Color Codes,Secondary Color Codes,Tertiary Color Codes,Official Hashtags,School Abbreviations,School Short Name
The University of Arizona,UA or UArizona,Wildcats,Wilbur & Wilma,"CMYK: 18, 100, 83, 8; RGB: 171, 5, 32; HEX: #AB0520; PANTONE:200","CMYK: 100, 71, 0, 58; RGB: 12, 35, 75; HEX: #0C234B; PANTONE:281/282","CMYK: 0, 0, 0, 0; RGB: 255, 255, 255; HEX: #FFFFFF",#beardown,U of A,Arizona
Arizona State University,—,Sun Devils,Sparky,"PMS 216 C & 123 C; CMYK: 10, 97, 37, 43 & 0, 21, 88, 0; RGB: 140, 29, 64 & 255, 198, 39",PMS: Process Black C,PMS 876 C (accent only; limited use),#ForksUp; #O2V; #FeartheFork; #ActivatetheValley,ASU,Arizona State
Baylor University,—,Bears NEVER Lady Bears,Bruiser & Marigold,"PMS: 3435 C & 3435 U; CMYK: 93, 10, 90, 70; RGB: 21, 71, 52","PMS: 1235 C & 116 U; CMYK: 0, 29, 100, 0; RGB: 255, 184, 28",—,#SICEM,BU,Baylor Bears
Brigham Young University,NEVER Brigham Young,Cougers,Cosmo,PMS 293,PMS 648,—,#GoCougs,BYU,BYU Cougars
University of Central Florida,Central Florida; Golden Knights,Knights,Knightro,PMS: 4514 C,BLACK,—,#ChargeOn,UCF,UCF
University of Cincinnati,—,Bearcats,Bearcat,"PMS: 186 C; CMYK: 0, 100, 81, 4; RGB: 224, 1, 34","PMS: Black C & White C; CMYK: 100, 100, 100, 100 & 0, 0, 0, 0; RGB: 0, 0, 0 & 255, 255, 255",—,#GoBearcats,UC,Cincinnati
University of Colorado,Colorado University,Buffaloes,Ralphie – live female buffalo,"PMS: Rich Black C & 4525 C; CMYK: 40, 30, 30, 100 & 0, 10, 48, 22; RGB: 0, 0, 0 & 207, 184, 124; HEX: #FFFFFF & CFB87C","PMS: White C & 422 C; CMYK: 0, 0, 0, 0 & 0, 0, 0, 33; RGB: 255, 255, 255 & 182, 184, 186; HEX: #FFFFFF & #A2A4A3",—,#GoBuffs,CU,Colorado
University of Houston,Cougs,Cougars/Coogs,Shasta & Sasha,"PMS 186 C & White C; CMYK: 0, 100, 81, 4 & 0, 0, 0, 0; RGB: 200, 16, 46 & 255, 255, 255; HEX: C8102E & #FFFFFF",—,—,#GoCoogs; #ForTheCity (MBB Only),UH,Houston Cougars
Iowa State University,—,Cyclones,Cy,"PMS: 187 C & 123 C; CMYK: 5, 100, 71, 22 & 0, 21, 88, 0; RGB: 167, 36, 51 & 253, 200, 47","PMS: 202 C & 121 C; CMYK: 10, 97, 61, 48 & 0, 8, 69, 0; RGB: 130, 36, 51 & 250, 218, 99",—,#cyclONEnation,ISU,Iowa State
University of Kansas,NEVER UK,Jayhawks,Jay & Baby Jay,"PMS: 293 C; CMYK: 100, 55, 0, 6; RGB: 0, 81, 186","PMS: 186 C; CMYK: 0, 100, 80, 6; RGB: 232, 0, 13","PMI: 116 C; CMYK: 0, 15, 100, 0; RGB: 255, 200, 45",#RockChalk; #PayHeed (MBB Specific),KU,Kansas
Kansas State University,K-State University; Kansas State; KSU,Wildcats,Willie the Wildcat,"PMS 2695 C; CMYK: 81, 100, 0, 50; RGB: 51, 10, 87; HEX: #330A57","PMS: 877 C; CMYK: 0, 0, 0, 40; RGB: 167, 169, 172; HEX: #A7A9AC","PMS: 877 C (at 30%); CMYK: 0, 0, 0, 12; RGB: 226, 227, 228; HEX: #E2E3E4",#KState; #EMAW,K-State,K-State
Oklahoma State University,Okie State; Oak State; O-State; Oklahoma,Cowboys (Men’s Sports); Cowgirls (Women’s Sports),Pistol Pete,"PMS: 021 C; CMYK: 0, 75, 100, 0; RGB: 250, 100, 0","PMS: Process Black; CMYK: 0, 0, 0, 100; RGB: 0, 0, 0","PMS: White; CMYK: 0, 0, 0, 0; RGB: 255, 255, 255",#GoPokes,OSU,Oklahoma State
Texas Christian University,NEVER Texas Christian,Horned Frogs,Super Frog,"PMS: 268 C; CMYK: 79, 100, 0, 20; RGB: 77, 25, 121","PMS: White; CMYK: 0, 0, 0, 0; RGB: 255, 255, 255",—,#GoFrogs,TCU,TCU
Texas Tech University,—,Red Raiders,Raider Red & The Masked Rider,"PMS: Process Black & 485 C; CMYK: 0, 0, 0, 100 & 0, 95, 100, 0; RGB: 0, 0, 0 & 218, 41, 28","PMS: 5 C; CMYK: 13, 9, 10, 27; RGB: 177, 179, 179","PMS: White; CMYK: 0, 0, 0, 0; RGB: 255, 255, 255",#WreckEm,TTU,Texas Tech
University of Utah,U of U,Utes,Swoop,"CMYK: 0, 100, 79, 20; RGB: 190, 0, 0","PMS: White; CMYK: 0, 0, 0, 0; RGB: 255, 255, 255",BLACK,#GoUtes,UU,Utah
West Virginia University,University of West Virginia; Mounties; ‘Eers; ‘Neers; Lady Mountaineers,Mountaineers,—,"PMS: 124 C & 295 C; CMYK: 0, 30, 100, 5 & 100, 69, 8, 54; RGB: 234, 170, 0 & 0, 40, 85; HEX: EAAA00 & 002855","PMS: 424 C; CMYK: 30, 20, 19, 58; RGB: 112, 115, 114; HEX: 707372",—,#HailWV,WVU,West Virginia
